,Account,Yearmonthhour,Post,Treatment,PostTreatment,Avg_Metered_Amount
1,46189001,20170700,0,1,0,31.488
2,46189001,20170701,0,1,0,35.712
3,46189001,20170702,0,1,0,27.392
4,46189001,20170703,0,1,0,23.232
5,46189001,20170704,0,1,0,32.768
6,46189001,20170705,0,1,0,21.12
7,46189001,20170706,0,1,0,77.632
8,46189001,20170707,0,1,0,92.096
9,46189001,20170708,0,1,0,40.832
10,46189001,20170709,0,1,0,41.728
11,46189001,20170710,0,1,0,50.624
12,46189001,20170711,0,1,0,63.68
13,46189001,20170712,0,1,0,57.28
14,46189001,20170713,0,1,0,55.872
15,46189001,20170714,0,1,0,54.08
16,46189001,20170715,0,1,0,58.816
17,46189001,20170716,0,1,0,68.032
18,46189001,20170717,0,1,0,101.76
19,46189001,20170718,0,1,0,104.512
20,46189001,20170719,0,1,0,78.72
21,46189001,20170720,0,1,0,59.84
22,46189001,20170721,0,1,0,91.904
23,46189001,20170722,0,1,0,121.28
24,46189001,20170723,0,1,0,41.728
25,46189001,20170800,0,1,0,35.776
26,46189001,20170801,0,1,0,42.432
27,46189001,20170802,0,1,0,23.296
28,46189001,20170803,0,1,0,34.112
29,46189001,20170804,0,1,0,25.344
30,46189001,20170805,0,1,0,40.768
31,46189001,20170806,0,1,0,98.816
32,46189001,20170807,0,1,0,102.336
33,46189001,20170808,0,1,0,30.848
34,46189001,20170809,0,1,0,38.4
35,46189001,20170810,0,1,0,50.496
36,46189001,20170811,0,1,0,50.944
37,46189001,20170812,0,1,0,46.592
38,46189001,20170813,0,1,0,46.272
39,46189001,20170814,0,1,0,48.256
40,46189001,20170815,0,1,0,48.064
41,46189001,20170816,0,1,0,59.072
42,46189001,20170817,0,1,0,118.144
43,46189001,20170818,0,1,0,115.136
44,46189001,20170819,0,1,0,89.472
45,46189001,20170820,0,1,0,93.76
46,46189001,20170821,0,1,0,127.296
47,46189001,20170822,0,1,0,102.208
48,46189001,20170823,0,1,0,45.696
49,46189001,20170900,0,1,0,26.432
50,46189001,20170901,0,1,0,41.28
51,46189001,20170902,0,1,0,18.048
52,46189001,20170903,0,1,0,24.768
53,46189001,20170904,0,1,0,21.696
54,46189001,20170905,0,1,0,24.064
55,46189001,20170906,0,1,0,91.968
56,46189001,20170907,0,1,0,100.544
57,46189001,20170908,0,1,0,46.144
58,46189001,20170909,0,1,0,18.24
59,46189001,20170910,0,1,0,25.792
60,46189001,20170911,0,1,0,30.912
61,46189001,20170912,0,1,0,32.64
62,46189001,20170913,0,1,0,38.016
63,46189001,20170914,0,1,0,27.648
64,46189001,20170915,0,1,0,34.048
65,46189001,20170916,0,1,0,39.616
66,46189001,20170917,0,1,0,107.392
67,46189001,20170918,0,1,0,97.472
68,46189001,20170919,0,1,0,74.048
69,46189001,20170920,0,1,0,78.784
70,46189001,20170921,0,1,0,126.144
71,46189001,20170922,0,1,0,92.416
72,46189001,20170923,0,1,0,42.624
73,46189001,20171000,0,1,0,20.864
74,46189001,20171001,0,1,0,33.92
75,46189001,20171002,0,1,0,15.04
76,46189001,20171003,0,1,0,19.456
77,46189001,20171004,0,1,0,17.6
78,46189001,20171005,0,1,0,44.608
79,46189001,20171006,0,1,0,84.032
80,46189001,20171007,0,1,0,97.216
81,46189001,20171008,0,1,0,45.952
82,46189001,20171009,0,1,0,29.312
83,46189001,20171010,0,1,0,22.08
84,46189001,20171011,0,1,0,29.312
85,46189001,20171012,0,1,0,27.328
86,46189001,20171013,0,1,0,32.256
87,46189001,20171014,0,1,0,38.912
88,46189001,20171015,0,1,0,31.744
89,46189001,20171016,0,1,0,41.664
90,46189001,20171017,0,1,0,71.488
91,46189001,20171018,0,1,0,82.432
92,46189001,20171019,0,1,0,73.472
93,46189001,20171020,0,1,0,73.216
94,46189001,20171021,0,1,0,96.192
95,46189001,20171022,0,1,0,80.064
96,46189001,20171023,0,1,0,38.848
97,46189001,20171100,0,1,0,26.304
98,46189001,20171101,0,1,0,17.088
99,46189001,20171102,0,1,0,25.216
100,46189001,20171103,0,1,0,12.288
101,46189001,20171104,0,1,0,25.088
102,46189001,20171105,0,1,0,154.816
103,46189001,20171106,0,1,0,126.4
104,46189001,20171107,0,1,0,126.528
105,46189001,20171108,0,1,0,65.792
106,46189001,20171109,0,1,0,51.584
107,46189001,20171110,0,1,0,43.008
108,46189001,20171111,0,1,0,64.64
109,46189001,20171112,0,1,0,42.176
110,46189001,20171113,0,1,0,30.912
111,46189001,20171114,0,1,0,25.216
112,46189001,20171115,0,1,0,24.448
113,46189001,20171116,0,1,0,36.672
114,46189001,20171117,0,1,0,67.136
115,46189001,20171118,0,1,0,77.312
116,46189001,20171119,0,1,0,49.344
117,46189001,20171120,0,1,0,82.368
118,46189001,20171121,0,1,0,96.64
119,46189001,20171122,0,1,0,58.624
120,46189001,20171123,0,1,0,22.016
121,46189001,20171200,0,1,0,17.984
122,46189001,20171201,0,1,0,37.952
123,46189001,20171202,0,1,0,48.96
124,46189001,20171203,0,1,0,52.736
125,46189001,20171204,0,1,0,50.816
126,46189001,20171205,0,1,0,244.672
127,46189001,20171206,0,1,0,209.92
128,46189001,20171207,0,1,0,167.936
129,46189001,20171208,0,1,0,98.88
130,46189001,20171209,0,1,0,79.04
131,46189001,20171210,0,1,0,83.648
132,46189001,20171211,0,1,0,59.008
133,46189001,20171212,0,1,0,69.12
134,46189001,20171213,0,1,0,79.104
135,46189001,20171214,0,1,0,85.504
136,46189001,20171215,0,1,0,82.368
137,46189001,20171216,0,1,0,85.76
138,46189001,20171217,0,1,0,198.784
139,46189001,20171218,0,1,0,134.592
140,46189001,20171219,0,1,0,116.224
141,46189001,20171220,0,1,0,114.496
142,46189001,20171221,0,1,0,146.432
143,46189001,20171222,0,1,0,89.344
144,46189001,20171223,0,1,0,41.92
145,46189001,20180100,0,1,0,68.352
146,46189001,20180101,0,1,0,95.616
147,46189001,20180102,0,1,0,90.368
148,46189001,20180103,0,1,0,110.016
149,46189001,20180104,0,1,0,104.896
150,46189001,20180105,0,1,0,326.848
151,46189001,20180106,0,1,0,288.32
152,46189001,20180107,0,1,0,241.472
153,46189001,20180108,0,1,0,120.128
154,46189001,20180109,0,1,0,110.208
155,46189001,20180110,0,1,0,104.96
156,46189001,20180111,0,1,0,98.24
157,46189001,20180112,0,1,0,82.816
158,46189001,20180113,0,1,0,81.984
159,46189001,20180114,0,1,0,77.632
160,46189001,20180115,0,1,0,85.184
161,46189001,20180116,0,1,0,85.76
162,46189001,20180117,0,1,0,255.552
